,,Gross Income Based,Net Income Based,Operating Income Based,,,,,,,EBITDA Based,Expense Ratios,,,,,,
Industry Name,Number of firms,Gross Margin,Net Margin,"Pre-tax, Pre-stock compensation Operating Margin",Pre-tax Unadjusted Operating Margin,After-tax Unadjusted Operating Margin,Pre-tax Lease adjusted Margin,After-tax Lease Adjusted Margin,Pre-tax Lease & R&D adj Margin,After-tax Lease & R&D adj Margin,EBITDA/Sales,EBITDASG&A/Sales,EBITDAR&D/Sales,COGS/Sales,R&D/Sales,SG&A/ Sales,Stock-Based Compensation/Sales,Lease Expense/Sales
Insurance (Life),23,0.2957,0.1124,0.1129,0.1093,0.1055,0.1093,0.1055,0.1093,0.1055,0.1252,0.2263,0.1252,0.7043,0,0.1011,0.0036,0.0043
Insurance (Prop/Cas.),50,0.2948,0.0951,0.1265,0.1229,0.1033,0.1238,0.1041,0.1238,0.1041,0.1106,0.2143,0.1106,0.7052,0,0.1036,0.0036,0.0057
Investments & Asset Management,172,0.7067,0.2452,0.2241,0.1925,0.1789,0.1897,0.1763,0.1898,0.1764,0.1936,0.5106,0.1977,0.2933,0.0041,0.317,0.0316,0.0162
Machinery,127,0.3458,0.0774,0.1454,0.1385,0.1197,0.1412,0.122,0.142,0.1228,0.1623,0.3536,0.1828,0.6542,0.0205,0.1913,0.0069,0.0096
Metals & Mining,94,0.3437,0.0833,0.2408,0.237,0.2298,0.2382,0.2309,0.2382,0.231,0.2527,0.2852,0.2539,0.6563,0.0013,0.0326,0.0037,0.0043
Office Equipment & Services,24,0.3261,0.0384,0.0791,0.0739,0.0638,0.0782,0.0674,0.0789,0.0682,0.099,0.3338,0.1163,0.6739,0.0173,0.2347,0.0052,0.0149
Oil/Gas (Integrated),5,0.3147,0.0923,0.0875,0.0845,0.077,0.0855,0.0779,0.0855,0.0779,0.1354,0.1798,0.1387,0.6853,0.0033,0.0444,0.0031,0.0081
Oil/Gas (Production and Exploration),301,0.5849,0.0994,0.1521,0.1374,0.1347,0.1408,0.138,0.1408,0.138,0.3531,0.4312,0.3537,0.4151,0.0006,0.0782,0.0148,0.0082
Oil/Gas Distribution,20,0.3469,0.0598,0.1724,0.1661,0.1527,0.1672,0.1537,0.1672,0.1537,0.2377,0.3054,0.2377,0.6531,0,0.0677,0.0063,0.0101
Oilfield Svcs/Equip.,134,0.107,0.0325,0.0508,0.0474,0.0454,0.0491,0.0471,0.0493,0.0472,0.0643,0.0955,0.0678,0.893,0.0035,0.0312,0.0034,0.0098
Packaging & Container,27,0.2291,0.073,0.1098,0.1055,0.0918,0.1073,0.0933,0.1073,0.0934,0.1476,0.243,0.1521,0.7709,0.0045,0.0954,0.0043,0.0091
Paper/Forest Products,20,0.1861,0.0307,0.0797,0.0764,0.07,0.0772,0.0707,0.0772,0.0707,0.1026,0.1823,0.1042,0.8139,0.0017,0.0797,0.0033,0.0046
Power,51,0.4008,0.0957,0.1931,0.1888,0.1631,0.1856,0.1604,0.1856,0.1604,0.3214,0.3394,0.3216,0.5992,0.0002,0.0181,0.0043,0.0174
Precious Metals,91,0.4465,-0.059,0.1149,0.1029,0.1008,0.1036,0.1015,0.105,0.1029,0.3984,0.4815,0.414,0.5535,0.0156,0.0832,0.012,0.0067
Publishing & Newspapers,33,0.3911,-0.01,0.0791,0.0729,0.0641,0.0725,0.0638,0.0726,0.0639,0.1094,0.3676,0.1117,0.6089,0.0023,0.2582,0.0063,0.0159
R.E.I.T.,238,0.615,0.2444,0.2717,0.2573,0.2511,0.2259,0.2204,0.2259,0.2204,0.4502,0.5363,0.4503,0.385,0.0001,0.0861,0.0144,0.0239
Real Estate (Development),18,0.3717,0.1842,0.1051,0.0907,0.0907,0.0494,0.0494,0.0494,0.0494,0.2637,0.4208,0.2637,0.6283,0,0.157,0.0144,0.0073
Real Estate (General/Diversified),11,0.7308,0.4123,0.3821,0.3401,0.316,0.3371,0.3132,0.3371,0.3132,0.3472,0.7372,0.3472,0.2692,0,0.39,0.0419,0.0112
Real Estate (Operations & Services),59,0.4597,0.0587,0.0862,0.0713,0.0652,0.0716,0.0656,0.0719,0.0659,0.1036,0.4534,0.105,0.5403,0.0014,0.3498,0.0149,0.021
Recreation,72,0.3711,0.0325,0.098,0.088,0.0815,0.0886,0.082,0.0889,0.0824,0.1413,0.3805,0.17,0.6289,0.0287,0.2392,0.01,0.0174
Reinsurance,2,0.2271,0.1353,0.1223,0.1185,0.1069,0.118,0.1064,0.118,0.1064,0.0804,0.0846,0.0804,0.7729,0,0.0042,0.0038,0.0026
Restaurant/Dining,78,0.3092,0.1211,0.1652,0.1578,0.1436,0.1428,0.13,0.1428,0.13,0.2058,0.3061,0.206,0.6908,0.0002,0.1003,0.0074,0.051
Retail (Automotive),24,0.2126,0.039,0.0589,0.0569,0.0519,0.0521,0.0475,0.0521,0.0475,0.0674,0.2167,0.0674,0.7874,0,0.1493,0.002,0.0164
